Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country,Duration (m)
Freaky (feat. Shiva & Niky Savage),"Slings, Shiva, Niky Savage, Finesse",TRAPHOUSE,2023-10-20,69,177.576,True,87.3,57.8,98.996,IT,2.9596
IL MALE CHE MI FAI (feat. Marracash),"Geolier, Marracash",IL CORAGGIO DEI BAMBINI - ATTO II,2023-04-07,77,167.339,False,73.5,79.80000000000001,109.044,IT,2.7889833333333334
"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)","Finesse, Shiva, Sfera Ebbasta, Guè","Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",2023-02-24,78,181.611,False,72.6,67.2,150.068,IT,3.02685
Syrup,Shiva,Syrup,2023-09-14,79,188.654,True,89.5,46.0,139.893,IT,3.144233333333333
ANELLI E COLLANE (feat. ANNA),"Artie 5ive, ANNA",ASPETTANDO LA BELLA VITA,2023-07-20,77,189.015,True,52.400000000000006,81.6,96.503,IT,3.1502499999999998
Tutti,Calcutta ,RELAX,2023-10-20,71,250.894,False,54.400000000000006,48.2,134.98,IT,4.181566666666667
Kiss You (F**k You) [feat. Geolier],"Yung Snapp, Geolier",HOTEL MONTANA,2023-09-01,74,207.4,True,77.4,57.2,104.021,IT,3.4566666666666666
TAXI SULLA LUNA,"Tony Effe, Emma, Takagi & Ketra",TAXI SULLA LUNA,2023-06-08,78,143.5,False,86.1,73.5,120.015,IT,2.3916666666666666
bellissimissima <3,Alfa,bellissimissima <3,2023-05-12,78,157.031,False,73.4,84.1,101.853,IT,2.6171833333333336
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,197.92,True,70.8,73.7,91.986,IT,3.2986666666666666
Alta marea,"Coez, Frah Quintale",Lovebars,2023-09-08,68,171.903,False,73.7,75.0,109.988,IT,2.8650499999999997
Rubami la Notte,Pinguini Tattici Nucleari,Fake News,2022-12-02,70,189.583,False,54.7,88.2,77.011,IT,3.1597166666666667
ITALODISCO,The Kolors,ITALODISCO,2023-05-05,84,199.512,False,88.5,57.9,123.038,IT,3.3252
Baby Mama,Don Pero,Baby Mama,2022-10-27,75,151.16,True,59.5,83.2,90.475,IT,2.5193333333333334
Ci pensiamo domani,Angelina Mango,Ci pensiamo domani,2023-05-12,77,180.184,False,85.7,66.60000000000001,122.045,IT,3.0030666666666668
Fantasmi (feat. Geolier),"Rose Villain, Geolier",Radio Gotham,2023-01-20,75,133.266,False,75.7,76.6,97.971,IT,2.2211
PARAFULMINI (con Bresh & Fabri Fibra),"Ernia, Bresh, Fabri Fibra",IO NON HO PAURA,2023-05-04,72,208.909,False,78.5,77.4,110.027,IT,3.4818166666666666
Ancora,Rhove,Ancora,2023-06-21,75,171.775,True,73.9,70.0,138.018,IT,2.8629166666666666
Un Altro Mondo (con Tananai & Marracash),"Merk & Kremont, Tananai, Marracash",Un Altro Mondo (con Tananai & Marracash),2023-06-21,76,167.647,False,58.4,91.3,135.987,IT,2.7941166666666666
"LE BAMBINE FANNO OH (feat. Nerissima Serpe, ANNA, Papa V, Artie 5ive)","Sadturs, KIID, Nerissima Serpe, ANNA, Papa V, Artie 5ive",NO REGULAR MUSIC,2023-10-27,63,196.799,True,66.0,86.3,99.888,IT,3.2799833333333335
X CASO (feat. Sfera Ebbasta),"Geolier, Sfera Ebbasta",IL CORAGGIO DEI BAMBINI,2023-01-06,75,215.421,True,78.10000000000001,46.400000000000006,100.021,IT,3.59035
Un Briciolo Di Allegria (con MINA),"BLANCO, Mina",Innamorato,2023-04-13,75,207.615,False,61.7,70.7,91.925,IT,3.4602500000000003
Rocket (feat. Artie 5ive),"Vale Pain, Bobo, Artie 5ive",Rocket (feat. Artie 5ive),2023-09-07,72,175.133,True,77.8,50.4,147.978,IT,2.9188833333333335
TOP G (feat. Sacky),"Artie 5ive, Sacky",ASPETTANDO LA BELLA VITA,2023-07-20,72,220.255,True,73.4,70.3,89.998,IT,3.6709166666666664
Un milione di volte (feat. Sfera Ebbasta),"Shiva, Sfera Ebbasta",Santana Season,2023-06-09,76,181.714,True,73.3,65.0,140.171,IT,3.028566666666667
Giro con te,Calcutta ,RELAX,2023-10-20,70,204.106,False,52.7,63.6,79.876,IT,3.4017666666666666
Red Light,Tedua,La Divina Commedia,2023-06-02,74,167.88,False,55.8,62.4,66.512,IT,2.798
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,90,198.937,False,62.1,78.2,128.033,IT,3.3156166666666667
Nato Per Questo,Capo Plaza,Nato Per Questo,2023-10-13,72,167.076,True,58.8,73.9,129.957,IT,2.7845999999999997
